Total_Square_Footage,Bedrooms,Bathrooms,Age_of_Property,Floor_Number,Furnishing_Status,Neighborhood,Distance_to_City_Center_km,Proximity_to_Public_Transport_km,Crime_Index,Air_Quality_Index,Neighborhood_Growth_Rate_%,Price_per_SqFt,Annual_Property_Tax,Estimated_Rental_Yield_%,Current_Market_Price,Investment_Grade
1748.3570765056163,5,3,26,7,Unfurnished,Suburban,16.481757011801815,2.1294199044174045,45.0,250.0,4.885651812753154,3839.6717463888886,92506.47488108052,9.980045545388009,6713117.269257692,0
1430.8678494144076,3,4,0,11,Fully-furnished,IT Hub,5.668307730921147,1.4153197107315918,82.0,216.0,10.576259691828891,6685.917558160589,159676.20008335498,9.828702046798256,9566664.477807269,0
1823.8442690503462,3,3,26,2,Semi-furnished,Suburban,13.200649769221807,0.8401896341849592,31.0,79.0,8.908252212576599,4759.509656713995,163275.58267638614,8.230587594686492,8680604.4108876,1
2261.514928204013,3,4,15,16,Semi-furnished,Suburban,3.67201117322405,0.40729339861925945,10.0,226.0,7.691113153606297,4522.943402495832,167067.63107727768,2.1605367632557337,10228704.024166174,1
,5,3,37,20,Unfurnished,Suburban,1.068966389575415,0.22510057566004182,78.0,245.0,13.180594176781373,6990.013737802186,146136.17394741598,6.347799363074906,9666652.953668848,0
1382.9315215254096,5,4,6,17,Semi-furnished,Industrial,0.5,6.963119770828485,,250.0,9.619765415261373,6736.121726220033,111691.43919824864,2.694691363520092,9315595.06802184,0
2289.6064077536957,1,1,22,10,Unfurnished,IT Hub,2.6448237090604794,0.4454089003565088,46.0,119.0,4.645369449917661,8081.672898700211,260552.74973715495,9.16110420769213,18503850.054233387,0
1883.7173645764544,4,2,10,3,Fully-furnished,Industrial,2.2401846244644834,0.12348407356707866,,261.0,5.276364683457221,5585.373034512448,67467.1554905327,8.317090021179222,10521264.172748182,0
,3,1,32,15,Unfurnished,Residential,6.574246505182284,6.522876383755296,81.0,287.0,10.727973197016581,5690.578545699921,131465.04748052638,9.778723012765465,7200077.38437134,0
1771.2800217929823,4,2,35,16,Fully-furnished,Residential,0.5,1.5923618831255166,22.0,182.0,12.166931410618389,9191.775899620134,214206.32542801,6.867063625198363,16281209.01579536,2
1268.291153593769,5,2,36,8,Unfurnished,Downtown,5.88126812817952,3.1857195347397584,93.0,285.0,10.206720929023877,7278.216646911605,51711.72715983073,6.177382435874704,9230897.787216892,0
